,BUYER_STATE,BUYER_ZIP,BUYER_COUNTY,FIPS
221,IA,50476,MITCHELL,19131
223,WA,99017,WHITMAN,53075
224,WI,54245,MANITOWOC,55071
226,TX,76088,PARKER,48367
229,OH,45113,CLINTON,39165
232,SC,29925,BEAUFORT,45013
234,NH,3218,BELKNAP,33001
237,WA,99217,SPOKANE,53063
240,MD,20833,MONTGOMERY,24031
242,FL,33850,POLK,12105
243,MI,49042,SAINT JOSEPH,26149
244,NY,12440,ULSTER,36111
245,OH,44286,SUMMIT,39153
247,ME,4010,OXFORD,23017
248,WA,98388,PIERCE,53053
249,NY,14804,ALLEGANY,36101
253,OH,43126,FRANKLIN,39129
258,AL,36320,HOUSTON,1069
259,NY,11960,SUFFOLK,36103
260,MA,1451,WORCESTER,25027
261,AR,72645,SEARCY,5141
263,NV,89140,CLARK,32003
264,NC,28673,CATAWBA,37109
266,CO,80133,EL PASO,8041
269,OK,74652,OSAGE,40113
270,AZ,86325,YAVAPAI,4025
271,TX,78873,REAL,48385
273,CO,80545,LARIMER,8069
275,CO,80421,PARK,8093
276,IN,47930,TIPPECANOE,18157
278,MD,21902,CECIL,24015
279,OH,44866,ASHLAND,39005
283,TX,76539,LAMPASAS,48281
284,MA,1541,WORCESTER,25027
285,LA,71067,BOSSIER,22119
287,MO,64146,JACKSON,29095
290,OK,74966,LE FLORE,40079
291,MO,64109,JACKSON,29095
294,CA,93944,MONTEREY,6053
295,TX,75021,GRAYSON,48181
296,NY,11947,SUFFOLK,36103
297,NY,14568,WAYNE,36117
298,KS,66104,WYANDOTTE,20209
299,NY,14712,CHAUTAUQUA,36013
300,KS,67001,SEDGWICK,20173
302,NY,12503,COLUMBIA,36021
304,OR,97488,LANE,41039
305,NJ,7627,BERGEN,34003
308,IL,61728,MCLEAN,17113
310,IL,61376,BUREAU,17195
312,CA,94567,NAPA,6055
315,TX,77641,JEFFERSON,48245
316,MD,20762,PRINCE GEORGES,24033
317,WY,82923,SUBLETTE,56035
318,SD,57071,BROOKINGS,46101
320,TX,79118,RANDALL,48381
321,WV,26270,RANDOLPH,54093
323,KY,42567,PULASKI,21199
325,WY,82839,SHERIDAN,56033
326,CA,94005,SAN MATEO,6081
329,OH,45786,WASHINGTON,39167
330,OH,44082,ASHTABULA,39007
333,MA,1236,BERKSHIRE,25003
335,IN,47993,WARREN,18171
336,NY,13614,SAINT LAWRENCE,36089
337,MA,1452,WORCESTER,25027
